"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27288","TC_PD_005 — Out-of-stock product shows appropriate message","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","30982","TC_CF_018 — Order appears in account order history","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","90006","TC_CM_003 — Cart displays correct name, unit price, quantity, line total","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","17028","TC_PL_002 — Product count matches rendered card count","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","31188","TC_CF_008 — Phone number validates Indian mobile format","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","65523","TC_CM_003 — Cart displays correct name, unit price, quantity, line total","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","61018","TC_AU_019 — Concurrent session: re-login in new tab reflects in first","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","40909","TC_HN_011 — Breadcrumb on inner pages is clickable","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","10503","TC_PL_006 — Clearing all filters restores full listing","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","59271","TC_CM_017 — Continue Shopping returns to product listing","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","30732","TC_PD_005 — Out-of-stock product shows appropriate message","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","14024","TC_SR_002 — Result count matches rendered cards","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","11552","TC_PL_002 — Product count matches rendered card count","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","63093","TC_CM_015 — Cart total updates without full page reload","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","28862","TC_PD_012 — View Bag from add-to-bag navigates to cart","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","7159","TC_HN_009 — Category tiles navigate to correct listings","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","13750","TC_SR_013 — Sorting by price low to high reorders correctly","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","53244","TC_CM_016 — Proceed to Checkout button is present and enabled","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","28356","TC_CF_013 — Card form accepts dummy test card data","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","33659","TC_CF_009 — Adding new address during checkout preserves cart","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","42418","TC_CM_008 — Cart contents persist after page refresh","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","30489","TC_CF_011 — Order summary reflects delivery charge","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","26276","TC_AU_003 — Registration validates mandatory fields","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","35807","TC_AU_004 — Password mismatch blocks registration","webkit","2026-05-28","skipped","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","41993","TC_CF_011 — Order summary reflects delivery charge","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","73398","TC_AU_001 — Registration form submits with timestamp-based unique email","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","26352","TC_CF_017 — Cart badge resets after successful order","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","21478","TC_AU_008 — Login blocks submission when fields are empty","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","96498","TC_CF_010 — Delivery method step shows shipping options","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","22727","TC_AU_012 — Logout clears session","firefox","2026-05-28","skipped","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","39270","TC_CF_015 — Checkout does not attempt real payment","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","7675","TC_HN_007 — Newsletter accepts valid email","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","11146","TC_PL_004 — Filter count badge updates","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","30168","TC_CF_013 — Card form accepts dummy test card data","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","33684","TC_AU_008 — Login blocks submission when fields are empty","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","12491","TC_SR_001 — Valid keyword returns relevant results","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","37768","TC_AU_005 — Login actually submits credentials to IKEA auth","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","71440","TC_CM_004 — Updating quantity recalculates line total","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","33766","TC_CF_003 — Checkout displays cart items with correct quantities and prices","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","20470","TC_PL_005 — Price range filter excludes products outside range","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","36005","TC_HN_004 — Country/store selector shows Indian stores","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","119141","TC_CM_002 — Adding same product twice merges into qty 2","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","34799","TC_CF_014 — Card number field accepts only numeric input","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","35148","TC_PD_007 — Product dimensions/assembly section is present","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","11507","TC_AU_014 — Wishlist requires authentication","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","110435","TC_CM_002 — Adding same product twice merges into qty 2","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","11217","TC_PL_004 — Filter count badge updates","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","28073","TC_PD_008 — Related products section displays linked products","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","19592","TC_PL_013 — Product cards display name, price INR, and image","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","28588","TC_CF_014 — Card number field accepts only numeric input","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","31118","TC_CF_006 — Address form validates all required fields","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","21807","TC_PL_009 — Sort Price High to Low orders descending","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","44583","TC_CF_001 — Proceed to Checkout navigates logged-in user to checkout","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","37129","TC_AU_015 — Profile page shows correct user info","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","61451","TC_CM_010 — Quantity cannot be set to zero","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","73544","TC_CM_011 — Price column is read-only","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13441","TC_SR_004 — Partial keyword returns matching products","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","21687","TC_SR_011 — Search input clears on new search","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","26811","TC_HN_005 — Footer links resolve without 404","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","48142","TC_HN_003 — IKEA logo returns to homepage from inner page","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","12853","TC_PL_011 — Pagination loads correct products per page","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","12017","TC_AU_013 — Accessing profile without login redirects to login","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","25478","TC_HN_002 — Primary navigation tabs redirect correctly","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","35745","TC_CM_001 — Adding one product increments cart badge by 1","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","35988","TC_PD_011 — Continue Shopping from add-to-bag keeps user on listing","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","14558","TC_SR_005 — Non-existent term shows no-results message","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","14488","TC_AU_013 — Accessing profile without login redirects to login","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","22702","TC_SR_010 — Adding product from search updates cart count","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","25443","TC_SR_008 — Search results persist after refresh","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","34517","TC_CF_008 — Phone number validates Indian mobile format","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","30989","TC_PD_010 — Breadcrumb link navigates back to category","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","29484","TC_PD_011 — Continue Shopping from add-to-bag keeps user on listing","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","43037","TC_PL_003 — Colour filter updates listing dynamically","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","57457","TC_SR_003 — Case-insensitive search returns consistent counts","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","12756","TC_PL_005 — Price range filter excludes products outside range","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","56305","TC_AU_001 — Registration form submits with timestamp-based unique email","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","27143","TC_AU_010 — Session persists after page refresh","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","15075","TC_SR_006 — Special characters handled gracefully","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","41727","TC_CM_014 — Guest cart retained after logging in","firefox","2026-05-28","skipped","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13267","TC_HN_005 — Footer links resolve without 404","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","39390","TC_CM_010 — Quantity cannot be set to zero","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","32204","TC_CF_007 — PIN code validates 6-digit format","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","14645","TC_SR_004 — Partial keyword returns matching products","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","41794","TC_CF_008 — Phone number validates Indian mobile format","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","57844","TC_SR_003 — Case-insensitive search returns consistent counts","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","31842","TC_CF_015 — Checkout does not attempt real payment","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","68703","TC_CF_002 — Guest clicking checkout is prompted to login","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","6541","TC_HN_001 — Page load completes within 3 seconds","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","22356","TC_SR_007 — Result cards show name, image, and price","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","62358","TC_CM_008 — Cart contents persist after page refresh","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","25677","TC_PD_003 — Quantity selector rejects zero/negative, accepts positive","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","68538","TC_CF_005 — Saved address auto-populates delivery form","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","28411","TC_PD_011 — Continue Shopping from add-to-bag keeps user on listing","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","23282","TC_AU_006 — Login fails with wrong password","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","29194","TC_PD_006 — Image gallery navigation works","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","34542","TC_AU_013 — Accessing profile without login redirects to login","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","70693","TC_CF_013 — Card form accepts dummy test card data","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","17920","TC_PL_006 — Clearing all filters restores full listing","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","79955","TC_PD_013 — Favourite/wishlist toggle adds item when logged in","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","25024","TC_SR_009 — Clicking result navigates to product detail","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","43269","TC_CM_006 — Removing product decrements badge count","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","14004","TC_SR_009 — Clicking result navigates to product detail","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","22588","TC_AU_006 — Login fails with wrong password","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","25095","TC_SR_002 — Result count matches rendered cards","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","30959","TC_CF_012 — Payment page shows accepted payment methods","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","23088","TC_SR_005 — Non-existent term shows no-results message","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","20214","TC_PL_008 — Sort Price Low to High orders ascending","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","23310","TC_HN_012 — Search icon opens search bar","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","16222","TC_SR_011 — Search input clears on new search","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","40311","TC_HN_002 — Primary navigation tabs redirect correctly","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","17754","TC_AU_009 — Password field masks characters","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","41885","TC_CM_005 — Cart subtotal equals sum of line totals","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","93526","TC_AU_020 — Remember Me keeps user logged in after browser restart","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","35987","TC_CM_013 — Badge count accurate after multiple add/remove ops","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","32401","TC_CM_007 — Empty cart shows empty-state message","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13880","TC_PL_009 — Sort Price High to Low orders descending","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","19386","TC_AU_009 — Password field masks characters","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","28518","TC_SR_011 — Search input clears on new search","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","56390","TC_CM_014 — Guest cart retained after logging in","chromium","2026-05-28","skipped","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","27891","TC_PD_007 — Product dimensions/assembly section is present","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","12463","TC_PL_013 — Product cards display name, price INR, and image","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","11318","TC_PL_007 — Multiple filters narrow results correctly","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","54604","TC_PD_002 — Detail page price matches cart price after adding","firefox","2026-05-28","failed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","13058","TC_HN_005 — Footer links resolve without 404","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","36065","TC_AU_007 — Login fails with unregistered email","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","26615","TC_CF_014 — Card number field accepts only numeric input","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","77609","TC_PD_004 — Add to Bag increments cart by selected quantity","firefox","2026-05-28","failed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","55675","TC_AU_020 — Remember Me keeps user logged in after browser restart","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","40926","TC_PD_002 — Detail page price matches cart price after adding","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","56966","TC_CM_012 — Clicking product name navigates to detail page","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","27847","TC_PD_001 — Product page shows name, article number, price, description","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","27511","TC_PD_007 — Product dimensions/assembly section is present","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","55577","TC_CM_011 — Price column is read-only","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13109","TC_PL_003 — Colour filter updates listing dynamically","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","28701","TC_AU_017 — Order history page is accessible after login","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","16925","TC_CM_007 — Empty cart shows empty-state message","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","28933","TC_AU_017 — Order history page is accessible after login","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","39768","TC_AU_017 — Order history page is accessible after login","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","7727","TC_HN_008 — Newsletter rejects invalid email","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","8281","TC_HN_007 — Newsletter accepts valid email","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","25573","TC_AU_009 — Password field masks characters","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","59191","TC_CM_015 — Cart total updates without full page reload","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13219","TC_PL_005 — Price range filter excludes products outside range","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","7569","TC_HN_013 — Skip-to-content link is present","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","37336","TC_CF_002 — Guest clicking checkout is prompted to login","chromium","2026-05-28","passed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","53989","TC_PD_005 — Out-of-stock product shows appropriate message","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","22777","TC_AU_007 — Login fails with unregistered email","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","61489","TC_CM_006 — Removing product decrements badge count","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","41636","TC_CF_006 — Address form validates all required fields","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","58294","TC_PD_004 — Add to Bag increments cart by selected quantity","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","97245","TC_CM_008 — Cart contents persist after page refresh","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","21878","TC_PL_010 — Sort persists after pagination","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","8117","TC_HN_008 — Newsletter rejects invalid email","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","61753","TC_CM_004 — Updating quantity recalculates line total","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","36745","TC_AU_011 — Session persists across multiple pages","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","19115","TC_CM_007 — Empty cart shows empty-state message","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","33260","TC_PD_001 — Product page shows name, article number, price, description","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","37204","TC_CF_016 — Order confirmation displays order reference ID","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","14097","TC_SR_012 — Search query appears in heading or breadcrumb","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","18211","TC_PL_014 — Filter panel remains accessible after applying filter","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","26067","TC_HN_003 — IKEA logo returns to homepage from inner page","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","22508","TC_HN_004 — Country/store selector shows Indian stores","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
